Timestamp,label,AccX,AccY,AccZ,AccX_kurt,AccY_kurt,AccZ_kurt,AccX_mean,AccY_mean,AccZ_mean,AccX_median,AccY_median,AccZ_median,AccX_min,AccY_min,AccZ_min,AccX_max,AccY_max,AccZ_max,AccX_quan_25,AccY_quan_25,AccZ_quan_25,AccX_quan_50,AccY_quan_50,AccZ_quan_50,AccX_quan_75,AccY_quan_75,AccZ_quan_75,AccX_skew,AccY_skew,AccZ_skew,AccX_sum,AccY_sum,AccZ_sum,AccX_std,AccY_std,AccZ_std,AccX_var,AccY_var,AccZ_var,SignalMagnitudeArea,VectorMagnitude,MovementVariation,Energy,Entropy
1692626048,FEP,1.09,-9.38,-2.34,-0.03054617912456692,-0.8213769393148485,-0.6969440775453153,-0.43430379746835446,-6.320886075949366,5.371265822784811,-0.62,-5.78,7.66,-1.72,-9.53,-2.66,1.41,-2.97,9.38,-0.86,-7.8149999999999995,2.58,-0.62,-5.78,7.66,0.0,-5.0,8.12,0.7045145328270501,-0.7583447970644771,-1.1172705906154285,-34.31,-499.3499999999999,424.3300000000001,0.6693293305075628,1.815229864566439,4.46276169730066,0.44800175267770226,3.2950594612138926,19.916241966893867,1690883362.47,41120.35194049292,0.6300000000000002,8.174375672068575e+36,6.0751347721496895e+19
1692626108,MOV,-0.94,-6.41,7.19,0.07628771211113028,0.025537384878502767,3.0491832105983936,-0.8120253164556961,-5.436835443037975,7.888987341772149,-0.78,-5.47,7.81,-1.72,-6.41,6.09,-0.16,-4.22,8.75,-1.09,-5.78,7.66,-0.78,-5.47,7.81,-0.62,-5.16,8.12,-0.00041311561689570767,0.24744317743828728,-0.7774585965703467,-64.14999999999999,-429.51,623.2299999999998,0.3067922530481291,0.44669597388678156,0.4298616203596544,0.0941214865303473,0.1995372930866602,0.18478101265822766,1692626055.3500001,41141.536683138125,2.66,8.208127237140303e+36,6.087958931453495e+19
1692626168,MOV,-1.25,-5.16,8.44,-0.35197565584293145,0.18057594843895775,1.146789153480206,-1.0232911392405066,-5.329873417721519,8.00746835443038,-1.09,-5.31,7.97,-2.03,-6.41,6.72,-0.16,-4.06,9.22,-1.25,-5.62,7.81,-1.09,-5.31,7.97,-0.7,-5.0,8.2,-0.04673789958711861,0.2348249049111019,-0.11159026447853256,-80.84000000000002,-421.06,632.59,0.4058505520034511,0.48813746926425133,0.42213580374831,0.16471467056150596,0.23827818889970792,0.17819863680623169,1692626114.41,41141.53742375217,0.7799999999999996,8.208128400983104e+36,6.087959377481166e+19
1692626168,MOV,-0.47,-5.62,7.5,1.9463260568299705,0.8634410116467479,0.17153146091680682,-1.7179746835443037,-6.6726582278481015,6.491772151898735,-1.09,-6.56,6.72,-7.34,-12.03,2.19,0.62,-2.97,10.62,-2.81,-7.66,5.47,-1.09,-6.56,6.72,-0.62,-5.62,7.66,-1.357872443812977,-0.5570147984052265,-0.44879013785109406,-135.72,-527.14,512.85,1.567584602670729,1.5728307885422903,1.5869045497394514,2.4573214865303474,2.473796689386563,2.518266049983771,1692626174.09,41141.53815683123,0.4700000000000003,8.208129564826029e+36,6.087959822520675e+19
1690803245,MOV,-0.94,-7.5,7.03,5.509804266453969,-1.2111467429726532,-1.3401351152130008,-1.5172151898734179,1.7048101265822786,-3.2296202531645566,-1.41,4.53,-6.41,-11.72,-9.53,-14.06,4.53,14.84,7.81,-2.5,-5.7,-7.81,-1.41,4.53,-6.41,-0.39,5.94,5.78,-1.1974776771436262,-0.37479431605465086,0.48068576798720797,-119.86000000000001,134.68,-255.14,2.496653111826301,6.2274532516870345,6.891834529882218,6.233276760791951,38.78117400194742,47.49738318727686,1690802900.44,41119.373579372535,2.51,8.172819885687519e+36,6.074543009581818e+19
1690803299,MOV,-1.72,7.66,-7.5,2.745926121007922,-1.2432469767609065,0.06489834488450708,0.055443037974683564,-4.466582278481013,-4.279873417721518,-0.16,-8.91,-2.97,-3.44,-9.69,-10.78,5.0,7.66,-0.78,-0.47,-9.14,-6.33,-0.16,-8.91,-2.97,0.31,4.295,-2.81,0.8394011539316961,0.8473503046856022,-1.0975533798258472,4.380000000000002,-352.86000000000007,-338.10999999999996,1.330795788017845,6.845575379176656,2.2541366495963713,1.771017429406037,46.861902271989614,5.081132035053553,1690803254.38,41119.37804660961,3.7500000000000004,8.172826710862321e+36,6.074545709315995e+19
1690882810,MOV,1.09,-7.81,-2.66,2.8518616720010157,16.166332355274193,4.40768113091376,1.5959493670886076,-8.994177215189874,-2.511645569620253,1.25,-9.22,-2.34,-1.72,-12.34,-7.97,7.03,-0.16,1.41,0.78,-9.38,-2.7350000000000003,1.25,-9.22,-2.34,1.7999999999999998,-8.91,-1.88,1.327193409663245,2.8200053011957356,-1.4995569550123231,126.08,-710.5400000000001,-198.42,1.5603365177696418,1.479636656364938,1.445787364565693,2.4346500486854916,2.189324634858813,2.090301103537812,1690803307.8999999,41119.378549292305,2.6600000000000006,8.172827754940429e+36,6.074546016358085e+19
1690885458,MOV,0.31,-9.69,-2.03,0.45120939102430846,-0.34317989839001983,0.6679699395245096,-0.5236708860759494,-9.158481012658227,-2.441012658227848,-0.62,-9.06,-2.5,-1.41,-9.69,-3.44,1.25,-8.75,-1.56,-0.94,-9.38,-2.66,-0.62,-9.06,-2.5,-0.16,-9.06,-2.19,0.9870972750887266,-0.27849419994794883,-0.11327084693888752,-41.37,-723.5199999999999,-192.84,0.5806874290832881,0.21789840379968034,0.36120380970500215,0.3371978902953587,0.04747971437844855,0.13046819214540742,1690882820.0,41120.34533682809,0.9399999999999988,8.174365191133911e+36,6.0751307788617695e+19
1690885880,MOV,-0.62,-9.22,-2.81,-0.9063344959508965,0.010701269895558863,2.907972000669447,-0.460253164556962,-9.198101265822784,-2.4302531645569623,-0.47,-9.22,-2.34,-1.25,-9.53,-3.91,0.16,-8.75,-1.72,-0.78,-9.38,-2.66,-0.47,-9.22,-2.34,-0.16,-9.06,-2.19,-0.0799972581366186,0.26528849200502724,-0.9250617423438671,-36.36,-726.65,-191.99,0.351684498333467,0.1704900624923153,0.3543139802836922,0.12368198636806234,0.029066861408633578,0.12553839662447264,1690885467.84,41120.37752939533,0.16000000000000014,8.174416396976789e+36,6.07515024952468e+19
1690889250,MOV,-0.62,-9.22,-2.34,2.643992245500948,4.091118849735006,4.682483408802785,-0.10683544303797468,-9.0773417721519,-2.8640506329113924,-0.16,-9.06,-2.66,-1.72,-11.88,-5.62,2.03,-7.66,1.72,-0.47,-9.38,-3.28,-0.16,-9.06,-2.66,0.16,-8.75,-2.34,0.7125785252700587,-0.9821559302436204,0.2746236294566254,-8.44,-717.1100000000001,-226.26,0.6528763661650776,0.696256858108763,1.0384091864140461,0.4262475494969165,0.4847736124634861,1.078293638429081,1690885889.84,41120.38266067085,0.0,8.174424557446783e+36,6.075153353272035e+19
